Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
824,Entry short,2025-10-24 01:01,DCA S [C],25345.25,1,50690.5,5.26,0.01,5.88,0.01,-72.62,-0.14,1031.5,10.32
825,Exit short,2025-10-24 02:22,TP,25342,1,50696.5,11.26,0.02,11.88,0.02,-66.62,-0.13,1043.38,10.43
825,Entry short,2025-10-24 01:02,DCA S [C],25348.25,1,50696.5,11.26,0.02,11.88,0.02,-66.62,-0.13,1043.38,10.43
826,Exit short,2025-10-24 02:22,TP,25342,1,50726,40.76,0.08,41.38,0.08,-6.62,-0.01,1084.76,10.85
826,Entry short,2025-10-24 02:06,DCA S [C],25363,1,50726,40.76,0.08,41.38,0.08,-6.62,-0.01,1084.76,10.85
827,Exit long,2025-10-24 02:31,TP,25354,1,50687,19.76,0.04,20.38,0.04,-7.12,-0.01,1103.9,11.04
827,Entry long,2025-10-24 02:26,DCA L [C],25343.5,1,50687,19.76,0.04,20.38,0.04,-7.12,-0.01,1103.9,11.04
828,Exit long,2025-10-24 02:31,TP,25354,1,50688.5,18.26,0.04,18.88,0.04,-6.12,-0.01,1122.78,11.23
828,Entry long,2025-10-24 02:27,DCA L [C],25344.25,1,50688.5,18.26,0.04,18.88,0.04,-6.12,-0.01,1122.78,11.23
829,Exit short,2025-10-24 02:44,TP,25355.75,1,50729.5,16.76,0.03,17.38,0.03,-8.62,-0.02,1138.92,11.39
829,Entry short,2025-10-24 02:37,DCA S [C],25364.75,1,50729.5,16.76,0.03,17.38,0.03,-8.62,-0.02,1138.92,11.39
830,Exit short,2025-10-24 02:44,TP,25355.75,1,50733.5,20.76,0.04,21.38,0.04,-4.62,-0.01,1160.3,11.60
830,Entry short,2025-10-24 02:38,DCA S [C],25366.75,1,50733.5,20.76,0.04,21.38,0.04,-4.62,-0.01,1160.3,11.60
831,Exit long,2025-10-24 03:42,TP,25347.75,1,50676.5,17.76,0.04,18.38,0.04,-30.12,-0.06,1176.82,11.77
831,Entry long,2025-10-24 02:48,DCA L [C],25338.25,1,50676.5,17.76,0.04,18.38,0.04,-30.12,-0.06,1176.82,11.77
832,Exit long,2025-10-24 03:42,TP,25347.75,1,50679,15.26,0.03,15.88,0.03,-32.62,-0.06,1192.7,11.93
832,Entry long,2025-10-24 02:49,DCA L [C],25339.5,1,50679,15.26,0.03,15.88,0.03,-32.62,-0.06,1192.7,11.93
833,Exit long,2025-10-24 03:42,TP,25347.75,1,50670.5,23.76,0.05,24.38,0.05,-24.12,-0.05,1217.08,12.17
833,Entry long,2025-10-24 03:05,DCA L [C],25335.25,1,50670.5,23.76,0.05,24.38,0.05,-24.12,-0.05,1217.08,12.17
834,Exit short,2025-10-24 03:59,TP,25349.75,1,50714.5,13.76,0.03,14.38,0.03,-29.62,-0.06,1230.22,12.30
834,Entry short,2025-10-24 03:46,DCA S [C],25357.25,1,50714.5,13.76,0.03,14.38,0.03,-29.62,-0.06,1230.22,12.30
835,Exit short,2025-10-24 03:59,TP,25349.75,1,50725,24.26,0.05,24.88,0.05,-19.12,-0.04,1255.1,12.55
835,Entry short,2025-10-24 03:47,DCA S [C],25362.5,1,50725,24.26,0.05,24.88,0.05,-19.12,-0.04,1255.1,12.55
836,Exit short,2025-10-24 05:56,TP,25366,1,50735,1.76,0.00,2.38,0.00,-53.62,-0.11,1255,12.55
836,Entry short,2025-10-24 04:21,DCA S [C],25367.5,1,50735,1.76,0.00,2.38,0.00,-53.62,-0.11,1255,12.55
837,Exit short,2025-10-24 05:56,TP,25366,1,50734.5,1.26,0.00,1.88,0.00,-54.12,-0.11,1256.88,12.57
837,Entry short,2025-10-24 04:22,DCA S [C],25367.25,1,50734.5,1.26,0.00,1.88,0.00,-54.12,-0.11,1256.88,12.57
838,Exit short,2025-10-24 05:56,TP,25366,1,50760.5,27.26,0.05,27.88,0.05,-28.12,-0.06,1284.76,12.85
838,Entry short,2025-10-24 04:31,DCA S [C],25380.25,1,50760.5,27.26,0.05,27.88,0.05,-28.12,-0.06,1284.76,12.85
839,Exit short,2025-10-24 05:56,TP,25366,1,50778,44.76,0.09,45.38,0.09,-3.12,-0.01,1330.14,13.30
839,Entry short,2025-10-24 05:16,DCA S [C],25389,1,50778,44.76,0.09,45.38,0.09,-3.12,-0.01,1330.14,13.30
840,Exit long,2025-10-24 06:13,TP,25379.5,1,50734.5,23.26,0.05,23.88,0.05,-6.12,-0.01,1352.78,13.53
840,Entry long,2025-10-24 06:00,DCA L [C],25367.25,1,50734.5,23.26,0.05,23.88,0.05,-6.12,-0.01,1352.78,13.53
841,Exit long,2025-10-24 06:13,TP,25379.5,1,50743.5,14.26,0.03,14.88,0.03,-12.62,-0.02,1367.66,13.68
841,Entry long,2025-10-24 06:01,DCA L [C],25371.75,1,50743.5,14.26,0.03,14.88,0.03,-12.62,-0.02,1367.66,13.68
842,Exit long,2025-10-24 06:41,TP,25376.25,1,50732.5,18.76,0.04,19.38,0.04,-6.62,-0.01,1386.42,13.86
842,Entry long,2025-10-24 06:21,DCA L [C],25366.25,1,50732.5,18.76,0.04,19.38,0.04,-6.62,-0.01,1386.42,13.86
843,Exit short,2025-10-24 07:23,TP,25364.5,1,50745,14.76,0.03,15.38,0.03,-28.62,-0.06,1400.56,14.01
843,Entry short,2025-10-24 06:51,DCA S [C],25372.5,1,50745,14.76,0.03,15.38,0.03,-28.62,-0.06,1400.56,14.01
844,Exit short,2025-10-24 07:23,TP,25364.5,1,50753,22.76,0.04,23.38,0.05,-20.62,-0.04,1423.94,14.24
844,Entry short,2025-10-24 06:54,DCA S [C],25376.5,1,50753,22.76,0.04,23.38,0.05,-20.62,-0.04,1423.94,14.24
845,Exit long,2025-10-24 07:28,TP,25379,1,50738,18.76,0.04,19.38,0.04,-5.62,-0.01,1442.7,14.43
845,Entry long,2025-10-24 07:26,DCA L [C],25369,1,50738,18.76,0.04,19.38,0.04,-5.62,-0.01,1442.7,14.43
846,Exit short,2025-10-24 08:26,TP,25475.25,1,50969.5,17.76,0.03,18.38,0.04,-18.62,-0.04,1459.84,14.60
846,Entry short,2025-10-24 08:21,DCA S [C],25484.75,1,50969.5,17.76,0.03,18.38,0.04,-18.62,-0.04,1459.84,14.60
847,Exit short,2025-10-24 08:26,TP,25475.25,1,50971.5,19.76,0.04,20.38,0.04,-16.62,-0.03,1480.22,14.80
847,Entry short,2025-10-24 08:22,DCA S [C],25485.75,1,50971.5,19.76,0.04,20.38,0.04,-16.62,-0.03,1480.22,14.80
848,Exit long,2025-10-24 08:36,TP,25503.25,1,50875.5,129.76,0.26,131.88,0.26,-16.12,-0.03,1609.36,16.09
848,Entry long,2025-10-24 08:31,DCA L [C],25437.75,1,50875.5,129.76,0.26,131.88,0.26,-16.12,-0.03,1609.36,16.09
849,Exit long,2025-10-24 08:36,TP,25503.25,1,50888.5,116.76,0.23,118.88,0.23,-9.12,-0.02,1726.74,17.27
849,Entry long,2025-10-24 08:32,DCA L [C],25444.25,1,50888.5,116.76,0.23,118.88,0.23,-9.12,-0.02,1726.74,17.27
850,Exit short,2025-10-24 08:43,TP,25495.25,1,51010.5,18.76,0.04,19.38,0.04,-29.12,-0.06,1745.5,17.46
850,Entry short,2025-10-24 08:40,DCA S [C],25505.25,1,51010.5,18.76,0.04,19.38,0.04,-29.12,-0.06,1745.5,17.46
851,Exit short,2025-10-24 08:47,TP,25502.5,1,51025,18.76,0.04,19.38,0.04,-29.62,-0.06,1764.26,17.64
851,Entry short,2025-10-24 08:46,DCA S [C],25512.5,1,51025,18.76,0.04,19.38,0.04,-29.62,-0.06,1764.26,17.64
852,Exit long,2025-10-24 09:36,TP,25489.75,1,50953,25.26,0.05,53.38,0.10,-16.62,-0.03,1788.9,17.89
852,Entry long,2025-10-24 09:31,DCA L [C],25476.5,1,50953,25.26,0.05,53.38,0.10,-16.62,-0.03,1788.9,17.89
853,Exit long,2025-10-24 09:36,TP,25489.75,1,50965.5,12.76,0.03,40.88,0.08,-23.12,-0.05,1802.28,18.02
853,Entry long,2025-10-24 09:32,DCA L [C],25482.75,1,50965.5,12.76,0.03,40.88,0.08,-23.12,-0.05,1802.28,18.02
854,Exit long,2025-10-24 10:03,TP,25479.25,1,50947.5,9.76,0.02,10.38,0.02,-83.12,-0.16,1811.42,18.11
854,Entry long,2025-10-24 09:55,DCA L [C],25473.75,1,50947.5,9.76,0.02,10.38,0.02,-83.12,-0.16,1811.42,18.11
855,Exit long,2025-10-24 10:03,TP,25479.25,1,50929.5,27.76,0.05,28.38,0.06,-65.12,-0.13,1839.8,18.40
855,Entry long,2025-10-24 09:56,DCA L [C],25464.75,1,50929.5,27.76,0.05,28.38,0.06,-65.12,-0.13,1839.8,18.40
856,Exit short,2025-10-24 10:44,TP,25518.75,1,51044,5.26,0.01,16.38,0.03,-50.62,-0.10,1843.82,18.44
856,Entry short,2025-10-24 10:21,DCA S [C],25522,1,51044,5.26,0.01,16.38,0.03,-50.62,-0.10,1843.82,18.44
857,Exit short,2025-10-24 10:44,TP,25518.75,1,51047.5,8.76,0.02,19.88,0.04,-47.12,-0.09,1853.2,18.53
857,Entry short,2025-10-24 10:22,DCA S [C],25523.75,1,51047.5,8.76,0.02,19.88,0.04,-47.12,-0.09,1853.2,18.53
858,Exit short,2025-10-24 10:44,TP,25518.75,1,51082,43.26,0.08,54.38,0.11,-8.62,-0.02,1897.08,18.97
858,Entry short,2025-10-24 10:32,DCA S [C],25541,1,51082,43.26,0.08,54.38,0.11,-8.62,-0.02,1897.08,18.97
859,Exit long,2025-10-24 10:57,TP,25517.5,1,51015,18.76,0.04,24.38,0.05,-5.12,-0.01,1915.84,19.16
859,Entry long,2025-10-24 10:56,DCA L [C],25507.5,1,51015,18.76,0.04,24.38,0.05,-5.12,-0.01,1915.84,19.16
860,Exit short,2025-10-24 11:28,TP,25532.75,1,51076,9.26,0.02,9.88,0.02,-44.62,-0.09,1924.48,19.24
860,Entry short,2025-10-24 11:14,DCA S [C],25538,1,51076,9.26,0.02,9.88,0.02,-44.62,-0.09,1924.48,19.24
861,Exit short,2025-10-24 11:28,TP,25532.75,1,51095.5,28.76,0.06,29.38,0.06,-12.12,-0.02,1953.86,19.54
861,Entry short,2025-10-24 11:21,DCA S [C],25547.75,1,51095.5,28.76,0.06,29.38,0.06,-12.12,-0.02,1953.86,19.54
862,Exit long,2025-10-24 11:47,TP,25538.75,1,51062.5,13.76,0.03,15.88,0.03,-22.62,-0.04,1967,19.67
862,Entry long,2025-10-24 11:42,DCA L [C],25531.25,1,51062.5,13.76,0.03,15.88,0.03,-22.62,-0.04,1967,19.67
863,Exit long,2025-10-24 11:47,TP,25538.75,1,51047,29.26,0.06,31.38,0.06,-4.62,-0.01,1996.88,19.97
863,Entry long,2025-10-24 11:43,DCA L [C],25523.5,1,51047,29.26,0.06,31.38,0.06,-4.62,-0.01,1996.88,19.97
864,Exit short,2025-10-24 11:58,TP,25542,1,51101,15.76,0.03,16.38,0.03,-37.62,-0.07,2012.02,20.12
864,Entry short,2025-10-24 11:51,DCA S [C],25550.5,1,51101,15.76,0.03,16.38,0.03,-37.62,-0.07,2012.02,20.12
865,Exit short,2025-10-24 11:58,TP,25542,1,51107.5,22.26,0.04,22.88,0.04,-11.62,-0.02,2034.9,20.35
865,Entry short,2025-10-24 11:52,DCA S [C],25553.75,1,51107.5,22.26,0.04,22.88,0.04,-11.62,-0.02,2034.9,20.35
866,Exit short,2025-10-24 12:58,TP,25550.5,1,51114,11.76,0.02,12.38,0.02,-22.62,-0.04,2046.04,20.46
866,Entry short,2025-10-24 12:39,DCA S [C],25557,1,51114,11.76,0.02,12.38,0.02,-22.62,-0.04,2046.04,20.46
867,Exit short,2025-10-24 12:58,TP,25550.5,1,51128.5,26.26,0.05,26.88,0.05,-8.12,-0.02,2072.92,20.73
867,Entry short,2025-10-24 12:48,DCA S [C],25564.25,1,51128.5,26.26,0.05,26.88,0.05,-8.12,-0.02,2072.92,20.73
868,Exit long,2025-10-24 13:05,TP,25549.5,1,51079,18.76,0.04,19.38,0.04,-3.62,-0.01,2091.68,20.92
868,Entry long,2025-10-24 13:04,DCA L [C],25539.5,1,51079,18.76,0.04,19.38,0.04,-3.62,-0.01,2091.68,20.92
869,Exit short,2025-10-24 13:43,TP,25540,1,51100,18.76,0.04,19.38,0.04,-6.12,-0.01,2110.44,21.10
869,Entry short,2025-10-24 13:36,DCA S [C],25550,1,51100,18.76,0.04,19.38,0.04,-6.12,-0.01,2110.44,21.10
870,Exit long,2025-10-24 13:59,TP,25545,1,51070,18.76,0.04,19.38,0.04,-13.62,-0.03,2129.2,21.29
870,Entry long,2025-10-24 13:46,DCA L [C],25535,1,51070,18.76,0.04,19.38,0.04,-13.62,-0.03,2129.2,21.29
871,Exit short,2025-10-24 14:35,TP,25548.75,1,51107.5,8.76,0.02,9.38,0.02,-27.12,-0.05,2137.34,21.37
871,Entry short,2025-10-24 14:06,DCA S [C],25553.75,1,51107.5,8.76,0.02,9.38,0.02,-27.12,-0.05,2137.34,21.37
872,Exit short,2025-10-24 14:35,TP,25548.75,1,51127.5,28.76,0.06,29.38,0.06,-7.12,-0.01,2166.72,21.67
872,Entry short,2025-10-24 14:23,DCA S [C],25563.75,1,51127.5,28.76,0.06,29.38,0.06,-7.12,-0.01,2166.72,21.67
873,Exit long,2025-10-24 15:51,EOD Close,25513.25,1,51089.5,-64.24,-0.13,2.88,0.01,-95.12,-0.19,2101.24,21.01
873,Entry long,2025-10-24 14:51,DCA L [C],25544.75,1,51089.5,-64.24,-0.13,2.88,0.01,-95.12,-0.19,2101.24,21.01
874,Exit long,2025-10-24 15:51,EOD Close,25513.25,1,51067,-41.74,-0.08,0,0.00,-72.62,-0.14,2060.12,20.60
874,Entry long,2025-10-24 14:55,DCA L [C],25533.5,1,51067,-41.74,-0.08,0,0.00,-72.62,-0.14,2060.12,20.60
875,Exit long,2025-10-24 15:51,EOD Close,25513.25,1,51018,7.26,0.01,32.88,0.06,-13.12,-0.03,2068,20.68
875,Entry long,2025-10-24 15:01,DCA L [C],25509,1,51018,7.26,0.01,32.88,0.06,-13.12,-0.03,2068,20.68
876,Exit short,2025-10-27 02:23,$ STOP,25812,1,51548,-77.24,-0.15,6.38,0.01,-77.12,-0.15,1988.28,19.88
876,Entry short,2025-10-27 00:12,DCA S [C],25774,1,51548,-77.24,-0.15,6.38,0.01,-77.12,-0.15,1988.28,19.88
877,Exit short,2025-10-27 02:23,$ STOP,25812,1,51552.5,-72.74,-0.14,10.88,0.02,-72.62,-0.14,1916.16,19.16
877,Entry short,2025-10-27 00:13,DCA S [C],25776.25,1,51552.5,-72.74,-0.14,10.88,0.02,-72.62,-0.14,1916.16,19.16
878,Exit short,2025-10-27 02:23,$ STOP,25812,1,51561,-64.24,-0.12,1.88,0.00,-64.12,-0.12,1852.54,18.53
878,Entry short,2025-10-27 00:53,DCA S [C],25780.5,1,51561,-64.24,-0.12,1.88,0.00,-64.12,-0.12,1852.54,18.53
879,Exit short,2025-10-27 02:23,$ STOP,25812,1,51596.5,-28.74,-0.06,0.38,0.00,-28.62,-0.06,1824.42,18.24
879,Entry short,2025-10-27 02:13,DCA S [C],25798.25,1,51596.5,-28.74,-0.06,0.38,0.00,-28.62,-0.06,1824.42,18.24
880,Exit short,2025-10-27 02:23,$ STOP,25812,1,51611,-14.24,-0.03,5.38,0.01,-14.12,-0.03,1810.8,18.11
880,Entry short,2025-10-27 02:20,DCA S [C],25805.5,1,51611,-14.24,-0.03,5.38,0.01,-14.12,-0.03,1810.8,18.11
881,Exit short,2025-10-27 02:44,TP,25803.25,1,51627,19.26,0.04,19.88,0.04,-6.62,-0.01,1829.44,18.29
881,Entry short,2025-10-27 02:26,DCA S [C],25813.5,1,51627,19.26,0.04,19.88,0.04,-6.62,-0.01,1829.44,18.29
882,Exit short,2025-10-27 02:44,TP,25803.25,1,51626.5,18.76,0.04,19.38,0.04,-7.12,-0.01,1848.82,18.49
882,Entry short,2025-10-27 02:28,DCA S [C],25813.25,1,51626.5,18.76,0.04,19.38,0.04,-7.12,-0.01,1848.82,18.49
883,Exit long,2025-10-27 03:45,TP,25797,1,51590.5,2.26,0.00,10.38,0.02,-54.12,-0.10,1848.6,18.49
883,Entry long,2025-10-27 02:50,DCA L [C],25795.25,1,51590.5,2.26,0.00,10.38,0.02,-54.12,-0.10,1848.6,18.49
884,Exit long,2025-10-27 03:45,TP,25797,1,51587.5,5.26,0.01,9.88,0.02,-51.12,-0.10,1854.48,18.54
884,Entry long,2025-10-27 03:00,DCA L [C],25793.75,1,51587.5,5.26,0.01,9.88,0.02,-51.12,-0.10,1854.48,18.54
885,Exit long,2025-10-27 03:45,TP,25797,1,51583,9.76,0.02,10.38,0.02,-46.62,-0.09,1864.86,18.65
885,Entry long,2025-10-27 03:06,DCA L [C],25791.5,1,51583,9.76,0.02,10.38,0.02,-46.62,-0.09,1864.86,18.65
886,Exit long,2025-10-27 03:45,TP,25797,1,51559,33.76,0.07,34.38,0.07,-22.62,-0.04,1899.24,18.99
886,Entry long,2025-10-27 03:26,DCA L [C],25779.5,1,51559,33.76,0.07,34.38,0.07,-22.62,-0.04,1899.24,18.99
887,Exit long,2025-10-27 03:45,TP,25797,1,51549,43.76,0.08,44.38,0.09,-10.62,-0.02,1943.62,19.44
887,Entry long,2025-10-27 03:32,DCA L [C],25774.5,1,51549,43.76,0.08,44.38,0.09,-10.62,-0.02,1943.62,19.44
888,Exit short,2025-10-27 04:29,TP,25791.75,1,51603,18.26,0.04,18.88,0.04,-12.12,-0.02,1961.26,19.61
888,Entry short,2025-10-27 03:54,DCA S [C],25801.5,1,51603,18.26,0.04,18.88,0.04,-12.12,-0.02,1961.26,19.61
889,Exit short,2025-10-27 04:29,TP,25791.75,1,51604.5,19.76,0.04,20.38,0.04,-10.62,-0.02,1981.64,19.82
889,Entry short,2025-10-27 03:55,DCA S [C],25802.25,1,51604.5,19.76,0.04,20.38,0.04,-10.62,-0.02,1981.64,19.82
890,Exit short,2025-10-27 05:33,$ STOP,25848.75,1,51616.5,-82.24,-0.16,0,0.00,-81.62,-0.16,1897.54,18.98
890,Entry short,2025-10-27 04:35,DCA S [C],25808.25,1,51616.5,-82.24,-0.16,0,0.00,-81.62,-0.16,1897.54,18.98
891,Exit short,2025-10-27 05:33,$ STOP,25848.75,1,51626,-72.74,-0.14,1.38,0.00,-72.12,-0.14,1825.42,18.25
891,Entry short,2025-10-27 04:36,DCA S [C],25813,1,51626,-72.74,-0.14,1.38,0.00,-72.12,-0.14,1825.42,18.25
892,Exit short,2025-10-27 05:33,$ STOP,25848.75,1,51642,-56.74,-0.11,1.88,0.00,-56.12,-0.11,1769.3,17.69
892,Entry short,2025-10-27 04:42,DCA S [C],25821,1,51642,-56.74,-0.11,1.88,0.00,-56.12,-0.11,1769.3,17.69
893,Exit short,2025-10-27 05:33,$ STOP,25848.75,1,51670.5,-28.24,-0.05,17.38,0.03,-27.62,-0.05,1741.68,17.42
893,Entry short,2025-10-27 04:49,DCA S [C],25835.25,1,51670.5,-28.24,-0.05,17.38,0.03,-27.62,-0.05,1741.68,17.42
894,Exit short,2025-10-27 05:59,TP,25837.75,1,51695.5,18.76,0.04,19.38,0.04,-8.12,-0.02,1760.44,17.60
894,Entry short,2025-10-27 05:48,DCA S [C],25847.75,1,51695.5,18.76,0.04,19.38,0.04,-8.12,-0.02,1760.44,17.60
895,Exit long,2025-10-27 07:10,TP,25837.5,1,51670,3.76,0.01,8.88,0.02,-48.12,-0.09,1761.72,17.62
895,Entry long,2025-10-27 06:13,DCA L [C],25835,1,51670,3.76,0.01,8.88,0.02,-48.12,-0.09,1761.72,17.62
896,Exit long,2025-10-27 07:10,TP,25837.5,1,51666,7.76,0.02,12.88,0.02,-44.12,-0.09,1770.1,17.70
896,Entry long,2025-10-27 06:14,DCA L [C],25833,1,51666,7.76,0.02,12.88,0.02,-44.12,-0.09,1770.1,17.70
897,Exit long,2025-10-27 07:10,TP,25837.5,1,51655,18.76,0.04,19.38,0.04,-33.12,-0.06,1789.48,17.89
897,Entry long,2025-10-27 06:35,DCA L [C],25827.5,1,51655,18.76,0.04,19.38,0.04,-33.12,-0.06,1789.48,17.89
898,Exit long,2025-10-27 07:10,TP,25837.5,1,51645,28.76,0.06,29.38,0.06,-23.12,-0.04,1818.86,18.19
898,Entry long,2025-10-27 06:42,DCA L [C],25822.5,1,51645,28.76,0.06,29.38,0.06,-23.12,-0.04,1818.86,18.19
899,Exit long,2025-10-27 07:10,TP,25837.5,1,51637,36.76,0.07,37.38,0.07,-15.12,-0.03,1856.24,18.56
899,Entry long,2025-10-27 06:48,DCA L [C],25818.5,1,51637,36.76,0.07,37.38,0.07,-15.12,-0.03,1856.24,18.56
900,Exit short,2025-10-27 08:18,TP,25827.25,1,51671.5,15.76,0.03,16.38,0.03,-14.62,-0.03,1870.76,18.71
900,Entry short,2025-10-27 08:03,DCA S [C],25835.75,1,51671.5,15.76,0.03,16.38,0.03,-14.62,-0.03,1870.76,18.71
901,Exit short,2025-10-27 08:18,TP,25827.25,1,51674.5,18.76,0.04,19.38,0.04,-11.62,-0.02,1890.14,18.90
901,Entry short,2025-10-27 08:05,DCA S [C],25837.25,1,51674.5,18.76,0.04,19.38,0.04,-11.62,-0.02,1890.14,18.90
902,Exit short,2025-10-27 08:18,TP,25827.25,1,51678,22.26,0.04,22.88,0.04,-8.12,-0.02,1913.02,19.13
902,Entry short,2025-10-27 08:11,DCA S [C],25839,1,51678,22.26,0.04,22.88,0.04,-8.12,-0.02,1913.02,19.13
903,Exit long,2025-10-27 08:26,TP,25834.25,1,51653.5,13.76,0.03,19.88,0.04,-23.62,-0.05,1926.16,19.26
903,Entry long,2025-10-27 08:21,DCA L [C],25826.75,1,51653.5,13.76,0.03,19.88,0.04,-23.62,-0.05,1926.16,19.26
904,Exit long,2025-10-27 08:26,TP,25834.25,1,51638.5,28.76,0.06,34.88,0.07,-8.62,-0.02,1955.54,19.56
904,Entry long,2025-10-27 08:22,DCA L [C],25819.25,1,51638.5,28.76,0.06,34.88,0.07,-8.62,-0.02,1955.54,19.56
905,Exit long,2025-10-27 08:38,TP,25842.5,1,51633.5,50.26,0.10,85.38,0.17,-41.62,-0.08,2005.18,20.05
905,Entry long,2025-10-27 08:30,DCA L [C],25816.75,1,51633.5,50.26,0.10,85.38,0.17,-41.62,-0.08,2005.18,20.05
906,Exit long,2025-10-27 08:38,TP,25842.5,1,51696.5,-12.74,-0.02,22.38,0.04,-104.62,-0.20,1993.06,19.93
906,Entry long,2025-10-27 08:31,DCA L [C],25848.25,1,51696.5,-12.74,-0.02,22.38,0.04,-104.62,-0.20,1993.06,19.93
907,Exit short,2025-10-27 09:10,TP,25854.25,1,51717.5,7.76,0.02,8.38,0.02,-36.62,-0.07,2000.2,20.00
907,Entry short,2025-10-27 09:02,DCA S [C],25858.75,1,51717.5,7.76,0.02,8.38,0.02,-36.62,-0.07,2000.2,20.00
908,Exit short,2025-10-27 09:10,TP,25854.25,1,51739.5,29.76,0.06,30.38,0.06,-14.62,-0.03,2030.58,20.31
908,Entry short,2025-10-27 09:04,DCA S [C],25869.75,1,51739.5,29.76,0.06,30.38,0.06,-14.62,-0.03,2030.58,20.31
909,Exit short,2025-10-27 09:51,TP,25864.75,1,51747,16.26,0.03,16.88,0.03,-37.12,-0.07,2044.98,20.45
909,Entry short,2025-10-27 09:34,DCA S [C],25873.5,1,51747,16.26,0.03,16.88,0.03,-37.12,-0.07,2044.98,20.45
910,Exit short,2025-10-27 09:51,TP,25864.75,1,51746,15.26,0.03,15.88,0.03,-38.12,-0.07,2060.86,20.61
910,Entry short,2025-10-27 09:35,DCA S [C],25873,1,51746,15.26,0.03,15.88,0.03,-38.12,-0.07,2060.86,20.61
911,Exit short,2025-10-27 09:51,TP,25864.75,1,51755.5,24.76,0.05,25.38,0.05,-28.62,-0.06,2086.24,20.86
911,Entry short,2025-10-27 09:41,DCA S [C],25877.75,1,51755.5,24.76,0.05,25.38,0.05,-28.62,-0.06,2086.24,20.86
912,Exit short,2025-10-27 09:51,TP,25864.75,1,51750,19.26,0.04,19.88,0.04,-24.12,-0.05,2106.12,21.06
912,Entry short,2025-10-27 09:47,DCA S [C],25875,1,51750,19.26,0.04,19.88,0.04,-24.12,-0.05,2106.12,21.06
913,Exit long,2025-10-27 10:04,TP,25884.25,1,51716.5,50.76,0.10,54.38,0.11,-17.12,-0.03,2156.26,21.56
913,Entry long,2025-10-27 09:59,DCA L [C],25858.25,1,51716.5,50.76,0.10,54.38,0.11,-17.12,-0.03,2156.26,21.56
914,Exit long,2025-10-27 10:04,TP,25884.25,1,51717.5,49.76,0.10,53.38,0.10,-7.12,-0.01,2206.64,22.07
914,Entry long,2025-10-27 10:00,DCA L [C],25858.75,1,51717.5,49.76,0.10,53.38,0.10,-7.12,-0.01,2206.64,22.07
915,Exit short,2025-10-27 10:20,TP,25879,1,51773.5,14.26,0.03,14.88,0.03,-20.62,-0.04,2220.28,22.20
915,Entry short,2025-10-27 10:13,DCA S [C],25886.75,1,51773.5,14.26,0.03,14.88,0.03,-20.62,-0.04,2220.28,22.20
916,Exit short,2025-10-27 10:20,TP,25879,1,51783,23.76,0.05,24.38,0.05,-7.62,-0.01,2244.66,22.45
916,Entry short,2025-10-27 10:16,DCA S [C],25891.5,1,51783,23.76,0.05,24.38,0.05,-7.62,-0.01,2244.66,22.45
917,Exit short,2025-10-27 10:54,TP,25889.75,1,51795,14.26,0.03,14.88,0.03,-23.12,-0.04,2257.06,22.57
917,Entry short,2025-10-27 10:28,DCA S [C],25897.5,1,51795,14.26,0.03,14.88,0.03,-23.12,-0.04,2257.06,22.57
918,Exit short,2025-10-27 10:54,TP,25889.75,1,51799.5,18.76,0.04,19.38,0.04,-18.62,-0.04,2276.44,22.76
918,Entry short,2025-10-27 10:29,DCA S [C],25899.75,1,51799.5,18.76,0.04,19.38,0.04,-18.62,-0.04,2276.44,22.76
919,Exit short,2025-10-27 10:54,TP,25889.75,1,51796.5,15.76,0.03,16.38,0.03,-21.62,-0.04,2292.82,22.93
919,Entry short,2025-10-27 10:35,DCA S [C],25898.25,1,51796.5,15.76,0.03,16.38,0.03,-21.62,-0.04,2292.82,22.93
920,Exit short,2025-10-27 10:54,TP,25889.75,1,51808.5,27.76,0.05,28.38,0.05,-9.62,-0.02,2321.2,23.21
920,Entry short,2025-10-27 10:42,DCA S [C],25904.25,1,51808.5,27.76,0.05,28.38,0.05,-9.62,-0.02,2321.2,23.21
921,Exit short,2025-10-27 12:21,TP,25897.75,1,51812.5,15.76,0.03,18.88,0.04,-22.12,-0.04,2335.72,23.36
921,Entry short,2025-10-27 11:08,DCA S [C],25906.25,1,51812.5,15.76,0.03,18.88,0.04,-22.12,-0.04,2335.72,23.36
922,Exit short,2025-10-27 12:21,TP,25897.75,1,51816,19.26,0.04,19.88,0.04,-18.62,-0.04,2355.6,23.56
922,Entry short,2025-10-27 11:37,DCA S [C],25908,1,51816,19.26,0.04,19.88,0.04,-18.62,-0.04,2355.6,23.56
923,Exit short,2025-10-27 12:21,TP,25897.75,1,51818,21.26,0.04,21.88,0.04,-15.62,-0.03,2377.48,23.77
923,Entry short,2025-10-27 11:56,DCA S [C],25909,1,51818,21.26,0.04,21.88,0.04,-15.62,-0.03,2377.48,23.77
924,Exit long,2025-10-27 12:32,TP,25907,1,51790.5,22.26,0.04,22.88,0.04,-7.12,-0.01,2399.12,23.99
924,Entry long,2025-10-27 12:25,DCA L [C],25895.25,1,51790.5,22.26,0.04,22.88,0.04,-7.12,-0.01,2399.12,23.99
