Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
22,Entry short,2025-10-06 08:28,DCA S [C],25208.25,1,50416.5,29.26,0.06,51.38,0.10,-27.62,-0.05,-260.28,-2.60
23,Exit long,2025-10-06 08:37,TP,25179.5,1,50339,18.76,0.04,24.38,0.05,-6.62,-0.01,-241.52,-2.42
23,Entry long,2025-10-06 08:36,DCA L [C],25169.5,1,50339,18.76,0.04,24.38,0.05,-6.62,-0.01,-241.52,-2.42
24,Exit long,2025-10-06 08:41,TP,25174.75,1,50329.5,18.76,0.04,36.38,0.07,-17.12,-0.03,-222.76,-2.23
24,Entry long,2025-10-06 08:40,DCA L [C],25164.75,1,50329.5,18.76,0.04,36.38,0.07,-17.12,-0.03,-222.76,-2.23
25,Exit long,2025-10-06 08:49,TP,25160.25,1,50254.5,64.76,0.13,93.38,0.19,-21.12,-0.04,-158.62,-1.59
25,Entry long,2025-10-06 08:44,DCA L [C],25127.25,1,50254.5,64.76,0.13,93.38,0.19,-21.12,-0.04,-158.62,-1.59
26,Exit long,2025-10-06 08:49,TP,25160.25,1,50282.5,36.76,0.07,65.38,0.13,-12.62,-0.03,-121.24,-1.21
26,Entry long,2025-10-06 08:45,DCA L [C],25141.25,1,50282.5,36.76,0.07,65.38,0.13,-12.62,-0.03,-121.24,-1.21
27,Exit short,2025-10-06 09:24,TP,25163.25,1,50346.5,18.76,0.04,24.88,0.05,-13.12,-0.03,-102.48,-1.02
27,Entry short,2025-10-06 09:22,DCA S [C],25173.25,1,50346.5,18.76,0.04,24.88,0.05,-13.12,-0.03,-102.48,-1.02
28,Exit long,2025-10-06 09:48,TP,25144.25,1,50265,22.26,0.04,26.38,0.05,-45.12,-0.09,-81.46,-0.81
28,Entry long,2025-10-06 09:32,DCA L [C],25132.5,1,50265,22.26,0.04,26.38,0.05,-45.12,-0.09,-81.46,-0.81
29,Exit long,2025-10-06 09:48,TP,25144.25,1,50286,1.26,0.00,5.38,0.01,-66.12,-0.13,-79.58,-0.80
29,Entry long,2025-10-06 09:33,DCA L [C],25143,1,50286,1.26,0.00,5.38,0.01,-66.12,-0.13,-79.58,-0.80
