time,open,high,low,close,Chars,Chars,Chars,Chars,Chars,Chars
1775064480,24335.5,24338.25,24334,24335.5,0,0,0,0,0,0
1775064540,24335,24335.25,24330.5,24331.5,0,0,0,0,0,0
1775064600,24331.5,24341,24327.25,24331.75,0,0,0,0,0,0
1775064660,24331.75,24338.25,24331.5,24337.75,0,0,0,0,0,0
1775064720,24337.5,24337.5,24324,24325.25,0,0,0,0,0,0
1775064780,24325.25,24325.75,24318.5,24319.5,0,0,0,0,0,0
1775064840,24319,24322.25,24306,24307.5,0,0,0,0,0,0
1775064900,24307.5,24312.75,24306.5,24310,0,0,0,0,0,0
1775064960,24310.5,24321.25,24310.5,24315,0,0,0,0,0,0
1775065020,24314.5,24315.5,24308.25,24313.5,0,0,0,0,0,0
1775065080,24313.75,24320,24312.75,24319.25,0,0,0,0,0,0
1775065140,24318.5,24329,24317,24321.25,0,0,0,0,0,0
1775065200,24320.5,24329.25,24319.5,24321,0,0,0,0,0,0
1775065260,24321.25,24326,24318.25,24320.25,0,0,0,0,0,0
1775065320,24319.75,24326,24317.5,24321,0,0,0,0,0,0
1775065380,24321.25,24321.5,24307.75,24308.5,0,0,0,0,0,0
1775065440,24308.5,24311.75,24304.5,24311.25,0,0,0,0,0,0
1775065500,24310.75,24315.75,24309.25,24311,0,0,0,0,0,0
1775065560,24310.25,24315.5,24306,24308,0,0,0,0,0,0
1775065620,24308.25,24314,24305.75,24311,0,0,0,0,0,0
1775065680,24311.75,24313.5,24306.5,24306.75,0,0,0,0,0,0
1775065740,24307,24308,24299.5,24304.25,0,0,0,0,0,0
1775065800,24303.75,24309.25,24297.25,24303.5,0,0,0,0,0,0
1775065860,24303,24309.5,24298.25,24299.25,0,0,0,0,0,0
1775065920,24299.75,24301.75,24293.25,24300.25,0,0,0,0,0,0
1775065980,24300,24303,24295.75,24296.75,0,0,0,0,0,0
1775066040,24296.25,24304,24295.5,24298.25,0,0,0,0,0,0
1775066100,24298.25,24302.75,24298,24300.25,0,0,0,0,0,0
1775066160,24300.25,24300.75,24286.5,24294.25,0,0,0,0,0,0
1775066220,24294.25,24294.5,24279.75,24280.75,0,0,0,0,0,0
1775066280,24280.5,24283.5,24265.75,24268.25,0,0,0,0,0,0
1775066340,24268.25,24275.75,24265.5,24266.75,0,0,0,0,0,0
1775066400,24266.75,24273.5,24254.25,24255.75,0,0,0,0,0,0
1775066460,24257,24265.25,24248.75,24251.25,0,0,0,0,0,0
1775066520,24251,24252.75,24226.25,24236,0,0,0,0,0,0
1775066580,24236.5,24239,24222,24223.5,0,0,0,0,0,0
1775066640,24223.5,24236,24215.25,24229.5,0,0,0,0,0,0
1775066700,24229,24246.75,24227,24239,0,0,0,0,0,0
1775066760,24239.5,24243,24230.5,24232.25,0,0,0,0,0,0
1775066820,24232.75,24240.5,24226,24229.75,0,0,0,0,0,0
1775066880,24230,24235.5,24225.75,24226.25,0,0,0,0,0,0
1775066940,24225.5,24237.25,24222.75,24233.5,0,0,0,0,0,0
1775067000,24233.75,24243.5,24232,24235.25,0,0,0,0,0,0
1775067060,24235.5,24247.25,24233,24239.25,0,0,0,0,0,0
1775067120,24239,24241.5,24232.75,24236,0,0,0,0,0,0
1775067180,24234.5,24234.5,24225.5,24226.5,0,0,0,0,0,0
1775067240,24226.25,24234,24225,24227,0,0,0,0,0,0
1775067300,24227,24227,24214.25,24218.75,0,0,0,0,0,0
1775067360,24219.5,24220.75,24202,24206.75,0,0,0,0,0,0
1775067420,24208,24209.75,24193.5,24197.25,0,0,0,0,0,0
1775067480,24197.5,24197.5,24181.75,24185,0,0,0,0,0,0
1775067540,24184.5,24189.25,24172.75,24187.5,0,0,0,0,0,0
1775067600,24188,24197,24172.5,24174.5,0,0,0,0,0,0
1775067660,24175.25,24177.75,24167.75,24168.75,0,0,0,0,0,0
1775067720,24168.75,24183,24168.5,24173.5,0,0,0,0,0,0
1775067780,24173.5,24178.5,24163.75,24167.75,0,0,0,0,0,0
1775067840,24167,24169.5,24141.25,24151.75,0,0,0,0,0,0
1775067900,24152.5,24159.5,24140.5,24157.5,0,0,0,0,0,0
1775067960,24158.25,24177,24156.75,24167.5,0,0,0,0,0,0
1775068020,24167.5,24181.5,24164.5,24164.75,0,0,0,0,0,0
1775068080,24164.75,24174.25,24159.25,24160.5,0,0,0,0,0,0
1775068140,24161.25,24161.5,24151.25,24154,0,0,0,0,0,0
1775068200,24154,24159.25,24147,24156,0,0,0,0,0,0
1775068260,24155.5,24158.5,24146.75,24152.25,0,0,0,0,0,0
1775068320,24153.25,24162.75,24143,24147.75,0,0,0,0,0,0
1775068380,24147.75,24150.25,24136.75,24144.5,0,0,0,0,0,0
1775068440,24145,24145.5,24136.25,24143.75,0,0,0,0,0,0
1775068500,24143.25,24145,24126.75,24130.75,0,0,0,0,0,0
1775068560,24131.25,24142,24124.5,24140.75,0,0,0,0,0,0
1775068620,24141.25,24147.75,24127.25,24128.25,0,0,0,0,0,0
1775068680,24128.5,24141.5,24127,24137.25,0,0,0,0,0,0
1775068740,24138,24173.5,24138,24162,0,0,0,0,0,0
1775068800,24161.75,24191.25,24160.5,24183.5,0,0,0,0,0,0
1775068860,24184.5,24204.75,24181.5,24193.25,0,0,0,0,0,0
1775068920,24193,24199.25,24190,24192.5,0,0,0,0,0,0
1775068980,24193.5,24193.5,24178,24187.75,0,0,0,0,0,0
1775069040,24187.75,24187.75,24175,24180.5,0,0,0,0,0,0
1775069100,24180,24186.25,24168.5,24169.25,0,0,0,0,0,0
1775069160,24169.75,24171.25,24156.5,24160.25,0,0,0,0,0,0
1775069220,24160.25,24179,24160.25,24178,0,0,0,0,0,0
1775069280,24176.75,24184.5,24168,24168.5,0,0,0,0,0,0
1775069340,24168.5,24172.5,24162.5,24169.75,0,0,0,0,0,0
1775069400,24169,24173.5,24157.5,24161.25,0,0,0,0,0,0
1775069460,24160.75,24160.75,24147.25,24156.75,0,0,0,0,0,0
1775069520,24157,24159.75,24153.25,24157.75,0,0,0,0,0,0
1775069580,24157,24173.75,24155,24164.25,0,0,0,0,0,0
1775069640,24165.25,24173,24164.75,24167.25,0,0,0,0,0,0
1775069700,24167,24168.5,24153,24158.25,0,0,0,0,0,0
1775069760,24159,24168.5,24152.75,24161.75,0,0,0,0,0,0
1775069820,24160.5,24166.25,24152.75,24163.75,0,0,0,0,0,0
1775069880,24163.25,24163.25,24150.75,24159.5,0,0,0,0,0,0
1775069940,24160.25,24163.25,24154.75,24159,0,0,0,0,0,0
1775070000,24159,24175.25,24153.75,24170.5,0,0,0,0,0,0
1775070060,24170.25,24183.5,24170,24174.75,0,0,0,0,0,0
1775070120,24175.25,24187.75,24173.5,24173.75,0,0,0,0,0,0
1775070180,24173.5,24174.5,24165.5,24173.25,0,0,0,0,0,0
1775070240,24172.75,24178.75,24170.75,24174.25,0,0,0,0,0,0
1775070300,24174.25,24191.75,24173.25,24190,0,0,0,0,0,0
1775070360,24189.25,24199.75,24183.75,24190.25,0,0,0,0,0,0
1775070420,24190,24197.5,24187.25,24195.5,0,0,0,0,0,0
1775070480,24195,24202,24186.75,24190.25,0,0,0,0,0,0
1775070540,24190,24197.5,24188.25,24193.75,0,0,0,0,0,0
1775070600,24193.75,24194,24179.25,24188.25,0,0,0,0,0,0
1775070660,24187.25,24190.5,24173.5,24176.75,0,0,0,0,0,0
1775070720,24176.75,24189.25,24176.5,24184,0,0,0,0,0,0
1775070780,24183.5,24197.25,24183.5,24196,0,0,0,0,0,0
1775070840,24195.75,24200,24191,24193,0,0,0,0,0,0
1775070900,24193,24203,24191.5,24197.25,0,0,0,0,0,0
1775070960,24196.75,24202.5,24190.5,24194,0,0,0,0,0,0
1775071020,24193.5,24194.5,24182,24189.5,0,0,0,0,0,0
1775071080,24189.5,24204.75,24186.75,24197.75,0,0,0,0,0,0
1775071140,24198,24213,24197.25,24210.75,0,0,0,0,0,0
1775071200,24211.5,24219.25,24209,24214.25,0,0,0,0,0,0
1775071260,24214.5,24219.75,24199.75,24201.75,0,0,0,0,0,0
1775071320,24203,24213.25,24203,24210.25,0,0,0,0,0,0
1775071380,24210,24217.25,24209,24214.75,0,0,0,0,0,0
1775071440,24214.75,24221,24213.75,24217.25,0,0,0,0,0,0
1775071500,24217.25,24237.75,24216.25,24233.25,0,0,0,0,0,0
